Currency code,Units Per USD
USD,1.0
CAD,1.322405
EUR,0.904521
GBP,0.77688
AED,3.67239
AFN,85.17573
ALL,92.596178
AMD,369.136576
ANG,1.790009
AOA,824.370028
ARS,263.868319
AUD,1.484618
AWG,1.791718
AZN,1.700047
BAM,1.769111
BBD,2.0
BDT,107.343226
BGN,1.769111
BHD,0.374534
BIF,2802.214108
BMD,1.0
BND,1.336311
BOB,6.723975
BRL,4.811762
BSD,1.0
BTN,82.166408
BWP,13.145587
BYN,1.0
BZD,1.968847
CDF,1.0
CHF,0.876476
CLP,811.119251
CNY,7.197716
COP,4081.607676
CRC,529.217216
CUC,1.0
CUP,0.997933
CVE,99.740134
CZK,21.57528
DJF,177.712088
DKK,6.738114
DOP,55.281464
DZD,134.675186
EGP,30.85216
ERN,1.0
ETB,54.63541
FJD,2.20463
FKP,0.77688
GEL,2.560131
GGP,1.0
GHS,11.298555
GIP,0.77688
GMD,59.334058
GNF,8529.696939
GTQ,7.658328
GYD,200.988735
HKD,7.821162
HNL,24.326212
HRK,6.815336
HTG,137.007691
HUF,341.594779
IDR,15040.70012
ILS,3.656541
IMP,1.0
INR,82.166408
IQD,1293.570541
IRR,42014.38176
ISK,132.821784
JEP,1.0
JMD,152.683732
JOD,0.708981
JPY,141.405764
KES,140.428294
KGS,87.699658
KHR,4070.132691
KMF,445.009245
KPW,1.0
KRW,1287.147374
KWD,0.306168
KYD,0.833359
KZT,444.11894
LAK,18904.09082
LBP,15000.17884
LKR,316.121349
LRD,181.494329
LSL,18.328076
LYD,4.750466
MAD,9.651025
MDL,17.800497
MGA,4471.696473
MKD,55.228403
MMK,2078.76344
MNT,2620.031231
MOP,8.05578
MRO,354.691656
MUR,44.435131
MVR,15.262741
MWK,1042.875311
MXN,16.962088
MYR,4.602781
MZN,63.200746
NAD,18.328076
NGN,776.080252
NIO,36.121271
NOK,10.324037
NPR,129.827921
NZD,1.605811
OMR,0.383856
PAB,1.0
PEN,3.565957
PGK,3.504351
PHP,54.915631
PKR,280.728325
PLN,4.021675
PYG,7147.572094
QAR,3.61661
RON,4.467293
RSD,105.897607
RUB,90.350451
RWF,1154.790009
SAR,3.748135
SBD,8.293816
SCR,12.626942
SDG,598.865522
SEK,10.543661
SGD,1.336311
SHP,0.77688
SLL,19750.2354
SOS,559.473431
SPL,1.0
SRD,37.722965
STD,22049.75357
SVC,8.750078
SYP,512.801119
SZL,18.328076
THB,34.720479
TJS,1.0
TMT,1.0
TND,3.057178
TOP,2.304692
TRY,26.33771
TTD,6.64551
TVD,1.0
TWD,31.157862
TZS,2430.631137
UAH,36.601538
UGX,3646.660659
UYU,37.4617
UZS,11545.7831
VEF,2930681.611
VND,23649.01647
VUV,112.141314
WST,2.659571
XAF,593.345712
XAG,1.0
XAU,1.0
XCD,2.700047
XDR,1.0
XOF,593.345712
XPD,1.0
XPF,107.941423
XPT,1.0
YER,249.813083
ZAR,18.328076
ZMW,18.139062
ZWD,1.0
